Array length,QuickSort,MeanOf3,BitterEnd,Hoare,BestBitterEndNumber
248,15432,16057,5298,21907,19.9140625
249,15408,16190,5225,21813,19.859375
250,15455,16130,5128,21853,19.0078125
251,15569,16274,5275,22331,19.0859375
252,15646,16324,5168,22090,18.953125
253,15716,16374,5385,22254,18.7265625
254,15819,16417,5519,22348,19.3203125
255,15829,16511,5509,22354,19.921875
256,15873,16558,5335,22485,18.265625
257,15986,16701,5462,22598,18.4609375
258,16060,16661,5425,22662,17.9140625
259,16043,16812,5499,22715,19.109375
260,16103,16888,5512,22842,19.0859375
261,16284,16925,5418,22889,17.8671875
262,16327,17039,5599,23093,19.78125
263,16357,17062,5639,23016,19.28125
264,16437,17182,5689,23196,19.5625
265,16508,17203,5719,23303,20.015625
266,16584,17296,5779,23397,19.9375
267,16568,17396,5813,23417,20.34375
268,16711,17426,5933,23557,18.8984375
269,16892,17453,5926,23688,18.359375
270,16892,17660,5843,23804,20.046875
271,16899,17600,6033,23865,19.8359375
272,16895,17687,5913,23951,19.21875
273,17056,17837,6010,24135,18.9609375
274,17116,17881,5980,24199,19.65625
275,17209,17961,6010,24329,18.7890625
276,17303,17978,6033,24316,19.640625
277,17356,18121,6110,24516,19.78125
278,17396,18171,6090,24493,19.40625
279,17543,18195,6160,24787,19.875
280,17567,18262,6234,24737,20.09375
281,17650,18382,6157,24867,19.921875
282,17677,18522,6357,24897,19.5078125
283,17817,18519,6324,25094,20.3125
284,17904,18559,6458,25094,19.9296875
285,17918,18616,6404,25301,19.984375
286,17911,18713,6364,25328,18.9140625
287,18091,18779,6541,25465,19.828125
288,18088,18900,6414,25599,19.7734375
289,18195,18906,6541,25495,20.4765625
290,18225,18967,6635,25652,19.875
291,18322,19073,6915,25812,21.046875
292,18435,19107,6621,25896,19.8984375
293,18502,19224,6631,25979,20.1171875
294,18542,19324,6722,26153,20.9921875
295,18602,19388,6835,26220,21.0703125
296,18779,19608,6828,26414,21.1328125
297,18759,19494,6919,26320,20.3515625
298,18736,19598,6838,26574,20.7265625
299,18873,19658,6899,26567,19.921875
300,18923,19695,7132,26628,19.4296875
301,18923,19742,6905,26668,21.1328125
302,19070,19782,7066,26868,21.8671875
303,19267,19972,7096,27072,20.65625
304,19220,19999,7059,27032,21.90625
305,19327,20069,7122,27022,20.3984375
306,19424,20183,7139,27206,20.515625
307,19418,20226,7249,27282,21.0625
308,19488,20230,7189,27453,20.4921875
309,19598,20357,7179,27543,21.5
310,19685,20420,7310,27630,20.59375
311,19805,20503,7353,27927,20.9765625
312,19809,20547,7293,27730,21.3671875
313,19909,20654,7396,27890,20.8515625
314,19966,20704,7517,27957,20.640625
315,20093,20818,7557,28088,21.6015625
316,20096,20851,7664,28258,21.25
317,20093,20918,7677,28285,20.734375
318,20219,21025,7430,28489,20.9375
319,20303,21081,7624,28435,21.46875
320,20437,21175,7644,28629,20.4453125
321,20410,21228,7614,28783,21.5703125
322,20584,21305,7968,28849,21.2265625
323,20554,21399,7784,28806,21.6640625
324,20610,21476,7844,28926,21.40625
325,20691,21516,7874,29150,20.53125
326,20838,21589,8145,29207,20.6796875
327,20924,21790,8098,29411,21.3671875
328,20941,21713,8024,29361,20.5703125
329,21005,21843,7994,29404,21.46875
330,21158,21827,8015,29518,20.765625
331,21132,21967,8282,29651,22.6875
332,21178,22060,8175,29718,22.609375
333,21325,22214,8228,29875,22.1484375
334,21285,22184,8526,29955,22.6015625
335,21502,22184,8182,30029,21.9609375
336,21526,22251,8496,30122,22.5
337,21589,22471,8496,30192,23.6796875
338,21649,22408,8272,30253,21.46875
339,21877,22478,8462,30507,21.140625
340,21833,22605,8526,30583,21.8671875
341,21893,22705,8633,30660,21.4609375
342,21980,22899,8552,31024,21.125
343,22107,22782,8466,30887,21.859375
344,22231,22963,8686,31425,21.7578125
345,22288,22969,8636,31328,21.65625
346,22274,23089,8649,31208,21.4453125
347,22298,23166,8810,31335,21.9921875
348,22468,23213,8963,31445,21.703125
349,22458,23236,8826,31445,21.5390625
350,22568,23393,8826,31619,23.0546875
351,22762,23480,9074,31729,22.4296875
352,22605,23470,8937,31706,22.5703125
353,22702,23537,9174,31890,21.9375
354,22775,23597,9047,31766,21.453125
355,22792,23728,9017,31973,21.734375
356,23019,23784,9090,32271,21.7734375
357,23029,23868,9097,32247,21.96875
358,23120,23858,8993,32421,22.0625
359,23276,24018,9214,32371,22.2109375
360,23156,24068,9294,32672,22.5859375
361,23380,24085,9458,32641,22.5703125
362,23400,24145,9251,32611,22.2421875
363,23460,24299,9304,32932,21.96875
364,23564,24399,9615,32955,21.8203125
365,23621,24446,9401,33099,22.28125
366,23744,24553,9465,33113,21.0390625
367,23708,24489,9575,33139,21.5859375
368,23781,24666,9685,33243,23.53125
369,23888,24763,9685,33236,21.796875
370,23941,24713,9718,33493,22.2734375
371,23981,24780,9628,33470,21.9453125
372,24145,24917,9922,33637,23.171875
373,24162,24974,9875,33731,22.9375
374,24312,25031,9989,33958,21.9609375
375,24362,25214,10002,34088,23.0546875
376,24406,25258,9872,34088,23.1171875
377,24513,25268,9829,34312,21.609375
378,24519,25355,9869,34416,21.46875
379,24536,25498,10069,34472,22.078125
380,24700,25458,10026,34419,22.796875
381,24673,25579,10160,34613,23.0859375
382,24773,25548,10193,34603,22.390625
383,24897,25679,10286,34710,23.1328125
384,25014,25856,10367,34913,21.875
385,25061,25869,10183,35077,23.546875
386,25091,25973,10403,34963,23.578125
387,25348,25949,10460,35094,22.453125
388,25298,26043,10443,35204,22.3203125
389,25388,26113,10550,35191,22.96875
390,25341,26157,10300,35431,23.046875
391,25488,26260,10667,35578,22.953125
392,25558,26367,10423,35538,22.484375
393,25572,26514,10477,35662,23.4140625
394,25712,26501,10530,35919,22.21875
395,25736,26571,10614,35866,23.1484375
396,25782,26748,10697,36033,22.6953125
397,25839,26734,10801,36089,23.7265625
398,25969,26895,10831,36383,23.9453125
399,26096,26878,10965,36387,22.8671875
400,26073,26975,10871,36380,22.171875
401,26250,27065,11132,36457,23.109375
402,26303,27072,10945,36651,23.3125
403,26293,27135,11072,36694,22.734375
404,26497,27309,11168,36838,25.5234375
405,26340,27259,11225,36844,23.6015625
406,26537,27373,11593,37012,23.5078125
407,26578,27493,11168,37105,23.7421875
408,26694,27510,11279,37098,22.765625
409,26905,27774,11379,37843,24.5390625
410,27072,27890,11409,37757,23.3828125
411,26892,27794,11576,37556,23.1640625
412,27062,28044,11459,37747,24.515625
413,27119,28111,11523,37880,23.4296875
414,27152,28101,11543,37940,24.2890625
415,27252,28058,11536,37954,23.15625
416,27383,28171,11613,38037,24.390625
417,27363,28235,11676,38134,24.3203125
418,27550,28308,11720,38171,24.5234375
419,27543,28328,11609,38284,23.2734375
420,27633,28468,11803,38391,23.8828125
421,27750,28465,12157,38772,24.6953125
422,27850,28542,12027,38746,23.9609375
423,27897,28712,12020,38782,23.34375
424,27847,28692,11980,38639,23.5703125
425,28021,28823,12067,38936,22.9296875
426,28078,28839,12214,38976,23.9375
427,28155,28976,12104,39273,23.7578125
428,28208,29057,12344,39240,24.328125
429,28178,29030,12388,39314,23.265625
430,28345,29167,12171,39314,24.1875
431,28475,29297,12371,39497,23.84375
432,28535,29274,12538,39501,23.5390625
433,28612,29377,12358,39701,23.6796875
434,28646,29444,12532,39831,25.71875
435,28652,29578,12505,39831,23.84375
436,28709,29561,12615,39978,24.6015625
437,28916,29808,12505,40189,23.984375
438,28873,29705,12669,40242,23.875
439,29030,29735,12796,40226,24.8203125
440,29006,29895,12622,40366,24.5859375
441,29056,29935,12669,40373,24.078125
442,29194,30022,13053,40640,24.28125
443,29267,30072,12909,40657,23.8125
444,29451,30226,12829,41071,25.0625
445,29347,30243,12859,40827,24.859375
446,29484,30350,13066,40947,24.046875
447,29561,30339,12976,40981,24.9765625
448,29745,30540,13080,41308,24.359375
449,29765,30580,13414,41161,24.1875
450,29922,30610,13190,41268,25.328125
451,29812,30801,13043,41428,25.421875
452,29882,30827,13313,41692,24.1796875
453,30019,30914,13183,41609,24.375
454,30069,30837,13407,41776,24.203125
455,30206,30944,13584,41823,26.4375
456,30263,31071,13307,42006,24.0
457,30339,31218,13447,42140,24.8984375
458,30386,31248,13480,42117,25.109375
459,30433,31228,13490,42214,24.4140625
